"Notes","County","County Code","Race","Race Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","Black or African American","2054-5",32,2181,1467.2
,"Autauga County, AL","01001","White","2106-3",56,8989,623.0
,"Baldwin County, AL","01003","Black or African American","2054-5",69,4811,1434.2
,"Baldwin County, AL","01003","White","2106-3",173,31807,543.9
,"Barbour County, AL","01005","Black or African American","2054-5",37,3123,1184.8
,"Barbour County, AL","01005","White","2106-3",20,2776,720.5
,"Bibb County, AL","01007","Black or African American","2054-5",19,1075,1767.4 (Unreliable)
,"Bibb County, AL","01007","White","2106-3",37,3894,950.2
,"Blount County, AL","01009","White","2106-3",82,12409,660.8
,"Bullock County, AL","01011","Black or African American","2054-5",24,1916,1252.6
,"Butler County, AL","01013","Black or African American","2054-5",30,2446,1226.5
,"Butler County, AL","01013","White","2106-3",11,2236,491.9 (Unreliable)
,"Calhoun County, AL","01015","Black or African American","2054-5",91,6411,1419.4
,"Calhoun County, AL","01015","White","2106-3",132,18243,723.6
,"Chambers County, AL","01017","Black or African American","2054-5",31,3307,937.4
,"Chambers County, AL","01017","White","2106-3",24,4078,588.5
,"Cherokee County, AL","01019","White","2106-3",34,4326,785.9
,"Chilton County, AL","01021","Black or African American","2054-5",20,1308,1529.1
,"Chilton County, AL","01021","White","2106-3",75,8904,842.3
,"Choctaw County, AL","01023","Black or African American","2054-5",12,1323,907.0 (Unreliable)
,"Clarke County, AL","01025","Black or African American","2054-5",37,2981,1241.2
,"Clarke County, AL","01025","White","2106-3",13,2837,458.2 (Unreliable)
,"Clay County, AL","01027","Black or African American","2054-5",11,571,1926.4 (Unreliable)
,"Clay County, AL","01027","White","2106-3",13,2256,576.2 (Unreliable)
,"Cleburne County, AL","01029","White","2106-3",18,3010,598.0 (Unreliable)
,"Coffee County, AL","01031","Black or African American","2054-5",29,2404,1206.3
,"Coffee County, AL","01031","White","2106-3",51,8579,594.5
,"Colbert County, AL","01033","Black or African American","2054-5",34,2063,1648.1
,"Colbert County, AL","01033","White","2106-3",71,8890,798.7
,"Conecuh County, AL","01035","Black or African American","2054-5",23,1637,1405.0
,"Coosa County, AL","01037","Black or African American","2054-5",17,666,2552.6 (Unreliable)
,"Covington County, AL","01039","Black or African American","2054-5",18,1365,1318.7 (Unreliable)
,"Covington County, AL","01039","White","2106-3",43,6572,654.3
,"Crenshaw County, AL","01041","White","2106-3",13,2117,614.1 (Unreliable)
,"Cullman County, AL","01043","White","2106-3",113,17371,650.5
,"Dale County, AL","01045","Black or African American","2054-5",34,2934,1158.8
,"Dale County, AL","01045","White","2106-3",51,9668,527.5
,"Dallas County, AL","01047","Black or African American","2054-5",80,8933,895.6
,"Dallas County, AL","01047","White","2106-3",15,2349,638.6 (Unreliable)
,"DeKalb County, AL","01049","White","2106-3",112,15895,704.6
,"Elmore County, AL","01051","Black or African American","2054-5",50,3784,1321.4
,"Elmore County, AL","01051","White","2106-3",73,13264,550.4
,"Escambia County, AL","01053","Black or African American","2054-5",43,3052,1408.9
,"Escambia County, AL","01053","White","2106-3",41,5083,806.6
,"Etowah County, AL","01055","Black or African American","2054-5",60,4276,1403.2
,"Etowah County, AL","01055","White","2106-3",153,18061,847.1
,"Fayette County, AL","01057","White","2106-3",17,3079,552.1 (Unreliable)
,"Franklin County, AL","01059","White","2106-3",64,7410,863.7
,"Geneva County, AL","01061","White","2106-3",26,4782,543.7
,"Greene County, AL","01063","Black or African American","2054-5",21,1904,1102.9
,"Hale County, AL","01065","Black or African American","2054-5",26,2521,1031.3
,"Houston County, AL","01069","Black or African American","2054-5",91,7774,1170.6
,"Houston County, AL","01069","White","2106-3",103,15240,675.9
,"Jackson County, AL","01071","White","2106-3",89,10089,882.1
,"Jefferson County, AL","01073","Black or African American","2054-5",1287,75362,1707.8
,"Jefferson County, AL","01073","White","2106-3",570,81770,697.1
,"Lamar County, AL","01075","White","2106-3",20,2507,797.8
,"Lauderdale County, AL","01077","Black or African American","2054-5",33,2379,1387.1
,"Lauderdale County, AL","01077","White","2106-3",93,15130,614.7
,"Lawrence County, AL","01079","White","2106-3",43,6078,707.5
