"county","state","mean_household_income","pctile","race","deaths","population","crude_rate"
"Abbeville","SC",45543,7,"White",26,3665,709.413369713506
"Abbeville","SC",45543,7,"Black or African American",50,1707,2929.11540714704
"Accomack","VA",54264,29,"Black or African American",39,2848,1369.38202247191
"Accomack","VA",54264,29,"White",34,4812,706.566916043225
"Ada","ID",77433,88,"White",481,86093,558.69815199842
"Ada","ID",77433,88,"Black or African American",11,2274,483.729111697449
"Adair","KY",46400,9,"White",30,3734,803.427959292983
"Adair","MO",51154,20,"White",32,4732,676.246830092984
"Adair","OK",43320,4,"White",18,1895,949.868073878628
"Adams","CO",75365,85,"White",691,114493,603.530346833431
"Adams","CO",75365,85,"Black or African American",58,5990,968.280467445743
"Adams","IL",61817,55,"White",85,13309,638.665564655496
"Adams","IN",59438,47,"White",99,11197,884.165401446816
"Adams","MS",47036,9,"Black or African American",68,4878,1394.0139401394
"Adams","MS",47036,9,"White",14,2534,552.486187845304
"Adams","NE",67843,72,"White",46,6979,659.120217796246
"Adams","OH",47211,10,"White",61,6418,950.451854160174
"Adams","PA",74303,84,"White",111,18189,610.258947715652
"Adams","WA",57780,41,"White",50,5572,897.343862167983
"Adams","WI",55791,34,"White",14,2837,493.479027141347
"Addison","VT",75094,85,"White",24,5925,405.06329113924
"Aiken","SC",62662,58,"White",147,23625,622.222222222222
"Aiken","SC",62662,58,"Black or African American",125,10817,1155.58842562633
"Aitkin","MN",54797,31,"White",12,2269,528.867342441604
"Alachua","FL",64989,65,"Black or African American",245,16296,1503.43642611684
"Alachua","FL",64989,65,"White",202,29016,696.167631651503
"Alamance","NC",59084,46,"Black or African American",120,7513,1597.23146545987
"Alamance","NC",59084,46,"White",170,23986,708.746768948553
"Alameda","CA",107194,99,"Black or African American",479,51024,938.773910316714
"Alameda","CA",107194,99,"White",831,203001,409.357589371481
"Alamosa","CO",47163,10,"White",21,3639,577.081615828524
"Albany","NY",81603,92,"Black or African American",205,12860,1594.09020217729
"Albany","NY",81603,92,"White",228,38526,591.808129574833
"Albany","WY",59866,48,"White",31,6734,460.35046035046
"Albemarle","VA",98220,97,"Black or African American",21,2232,940.860215053763
"Albemarle","VA",98220,97,"White",61,15774,386.712311398504
"Alcona","MI",48309,12,"White",14,1262,1109.35023771791
"Alcorn","MS",49274,14,"Black or African American",27,1390,1942.44604316547
"Alcorn","MS",49274,14,"White",48,6981,687.580575848732
"Alexander","IL",38991,2,"Black or African American",13,1228,1058.6319218241
"Alexander","IL",38991,2,"White",11,1023,1075.2688172043
"Alexander","NC",52750,25,"White",41,6760,606.508875739645
"Allamakee","IA",63456,60,"White",18,3185,565.149136577708
"Allegan","MI",68233,73,"White",146,24964,584.84217272873
"Allegany","MD",55075,32,"White",83,11527,720.048581591047
"Allegany","NY",54958,31,"White",48,9164,523.788738542121
"Alleghany","NC",47715,11,"White",12,1737,690.846286701209
"Alleghany","VA",56983,38,"White",24,2551,940.807526460212
"Allegheny","PA",76778,87,"Black or African American",803,50672,1584.7016103568
"Allegheny","PA",76778,87,"White",921,175483,524.837163713864
"Allen","IN",65921,68,"White",451,73356,614.809967828126
"Allen","IN",65921,68,"Black or African American",269,16978,1584.40334550595
"Allen","KS",51281,20,"White",21,2903,723.389596968653
"Allen","KY",52935,25,"White",33,4525,729.281767955801
"Allen","OH",59209,46,"White",127,19360,655.99173553719
"Allen","OH",59209,46,"Black or African American",76,5157,1473.72503393446
"Allendale","SC",33201,1,"Black or African American",32,1880,1702.12765957447
"Alpena","MI",50839,19,"White",28,5104,548.58934169279
"Amador","CA",70061,78,"White",21,4690,447.761194029851
"Amherst","VA",58401,43,"White",25,4680,534.188034188034
"Amherst","VA",58401,43,"Black or African American",11,1157,950.734658599827
"Amite","MS",41757,3,"Black or African American",18,1425,1263.15789473684
"Anderson","KS",51993,22,"White",13,1866,696.677384780279
"Anderson","KY",62155,56,"White",32,4324,740.055504162812
"Anderson","SC",58374,43,"White",187,31827,587.551450026707
"Anderson","SC",58374,43,"Black or African American",141,8815,1599.54622802042
"Anderson","TN",62430,57,"White",95,13033,728.918898181539
"Anderson","TX",57638,41,"White",43,8631,498.204147839184
"Anderson","TX",57638,41,"Black or African American",16,2221,720.396217919856
"Andrew","MO",67601,72,"White",20,3368,593.824228028504
"Andrews","TX",87591,94,"White",33,4282,770.667912190565
"Androscoggin","ME",61330,53,"Black or African American",13,2069,628.322861285645
"Androscoggin","ME",61330,53,"White",147,21240,692.090395480226
"Angelina","TX",58796,45,"Black or African American",32,3720,860.215053763441
"Angelina","TX",58796,45,"White",98,18319,534.963698891861
"Anoka","MN",87903,94,"Black or African American",51,6564,776.965265082267
"Anoka","MN",87903,94,"White",264,65523,402.911954580834
"Anson","NC",45101,6,"Black or African American",48,3076,1560.46814044213
"Anson","NC",45101,6,"White",15,2346,639.386189258312
"Antrim","MI",66560,69,"White",24,3977,603.469952225295
"Apache","AZ",42584,4,"White",28,3178,881.057268722467
"Appanoose","IA",53318,27,"White",11,2743,401.0207801677
"Appling","GA",50952,19,"Black or African American",18,1087,1655.93376264949
"Appling","GA",50952,19,"White",28,3553,788.066422741345
"Appomattox","VA",63018,59,"White",12,2241,535.475234270415
"Aransas","TX",72808,82,"White",28,4258,657.585720995773
"Arapahoe","CO",91236,95,"White",568,108607,522.986547828409
